version,time,accuracy,precision,recall,fscore
f2c200e2d6520cf74f7da8cad9c96cef29e2965d,0.352812,0.942761,0.945108,0.942761,0.942691
e6a464b40eba2d7a013b4982067b0e421765d295,0.437733,0.942761,0.945108,0.942761,0.942691
b8b68e3284b129ddaa6f86213409631eb9c07670,0.351669,0.942761,0.945108,0.942761,0.942691
6cb191cfd88c52f90d6983487011c30129217c15,0.363097,0.942761,0.945108,0.942761,0.942691
de35beab435777bc033da42102ec2c1459235104,0.349465,0.942761,0.945108,0.942761,0.942691
6dab7c5c8a00ac883cb2f6d297d36bad76cf399a,0.418385,0.942761,0.945108,0.942761,0.942691
ae614649d77bbd7fa73e0e8147e3bbbdee5db796,0.379021,0.942761,0.945108,0.942761,0.942691
9d8f3f3996a457a69f368c5b68afd91d07643fe2,0.517618,0.942761,0.945108,0.942761,0.942691
bf1691b69accdbd4117bb51e4c6285e72bc6af6c,0.491238,0.942761,0.945108,0.942761,0.942691
35e54116bf1283dc320b735a827e48853970928e,0.578883,0.942761,0.945108,0.942761,0.942691
5a019b7202fb887506ed6ae2ef1c1716ca9a6f7a,0.392526,0.942761,0.945108,0.942761,0.942691
4ebdb3578d9efe4d46953fecad69a82ed6521acd,0.416020,0.942761,0.945108,0.942761,0.942691
f86622d9cb1a03e8e1f650f840e735998e4e2034,0.409898,0.942761,0.945108,0.942761,0.942691
b9474d02c97b1d950abcbca43e3fa9d8f72441b4,0.501254,0.942761,0.945108,0.942761,0.942691
b9474d02c97b1d950abcbca43e3fa9d8f72441b4,0.578599,0.942761,0.945108,0.942761,0.942691
56ee99c65f86c95e0bf92fe7537be0c970febe39,0.534065,0.942761,0.945108,0.942761,0.942691
56ee99c65f86c95e0bf92fe7537be0c970febe39,0.590127,0.942761,0.945108,0.942761,0.942691
081a5546988e4514afecf00250901f66e29b7543,0.417385,0.942761,0.945108,0.942761,0.942691
ce6a01d7a7539211e827a8962323274ec0166b16,0.462102,0.942761,0.945108,0.942761,0.942691
2cfdc1c5fe6b9364356a74fdbb95fa435a22e051,0.626297,0.942761,0.945108,0.942761,0.942691
a894b2e68087f03ee69012275f980e07db3753f5,0.523074,0.942761,0.945108,0.942761,0.942691
38105780993408e27d8775e4aca8545a6b0a95ba,0.466073,0.942761,0.945108,0.942761,0.942691
13ab4d509aae25e2fe02c47f1bfc13d2eb661e82,0.506822,0.942761,0.945108,0.942761,0.942691
815844ded8e3b9687b33a80aa15e6573044cb4b4,0.566811,0.942761,0.945108,0.942761,0.942691
54e7f886ce2d4e04415be0d71b753ac4a4d37e83,0.347012,0.942761,0.945108,0.942761,0.942691
30ebaa8a4603c5b9d19f125ae00a9e8739b823ba,0.534234,0.942761,0.945108,0.942761,0.942691
f12fc13ba8e33dcd80febce64d96ba01ca309239,0.490216,0.942761,0.945108,0.942761,0.942691
767bf266d5b7f8174f6e8e26ddf9594750320a6d,0.482853,0.942761,0.945108,0.942761,0.942691
c5440bfd134d8272a76ab87b3d61b10db77c7cc3,0.523497,0.942761,0.945108,0.942761,0.942691
b01e21e1b242204619e1be5bde6f1bcdb95ea186,0.477798,0.942761,0.945108,0.942761,0.942691
2330834205565ba138cc7e59d712c0bcea588b02,0.556780,0.942761,0.945108,0.942761,0.942691
000c9b199b8ce573a3ee24f937a63e4d41d36e78,0.445408,0.942761,0.945108,0.942761,0.942691
42d0dc2bc2fcf9f65ac703a4d5f19b64f253cb12,0.425362,0.942761,0.945108,0.942761,0.942691
abc78088b9271436660fb6b828648bf3e3b955ec,0.504214,0.942761,0.945108,0.942761,0.942691
64a4a1181faa0bcadb7efbe76bf91ab0f458e5a8,0.355090,0.942761,0.945108,0.942761,0.942691
08d3dfef4ae8897134589b2e25524e528cdfb192,0.493314,0.942761,0.945108,0.942761,0.942691
f4afc7ecf01b13086abaa83971ec67f3003c1b33,0.414168,0.942761,0.945108,0.942761,0.942691
7ed6c5f326ba0635d6290aa2dd59e2d2d2f3e244,0.537602,0.942761,0.945108,0.942761,0.942691
ab68f07d95c61275d33fef825b7b47bd08c815db,0.433261,0.942761,0.945108,0.942761,0.942691
46f29519ffe17ee9e1f941efd7bc8849d3a48ed3,0.481712,0.942761,0.945108,0.942761,0.942691
bb629cbba9ba5dcb18ab67db0485d9168637cbeb,0.525906,0.942761,0.945108,0.942761,0.942691
dcfdf6c7ce51326abd5598a754330e5445eb4b2a,0.424214,0.942761,0.945108,0.942761,0.942691
2b3296bb836dde374337bf4a7e76f0ab6f880923,0.465254,0.942761,0.945108,0.942761,0.942691
923fb2ea3743586dc3b9fc281877bacf03fa4267,0.517467,0.942761,0.945108,0.942761,0.942691
d3f436107b46e58c41a134bfb355c0c701a83d07,0.497783,0.942761,0.945108,0.942761,0.942691
d5a654d5e8183b3ec539318534f5bf4d436fcafa,0.413178,0.942761,0.945108,0.942761,0.942691
0ed517fa90fe2fa33b28ff3ab7784111f307e3c3,0.459757,0.942761,0.945108,0.942761,0.942691
f19aee9eceeff2dfd52cbee2fac0d2f95b49e233,0.556976,0.942761,0.945108,0.942761,0.942691
c1a3688c29db4d141ea1ff61a40b71f7db8306ed,0.436684,0.942761,0.945108,0.942761,0.942691
b99824fb46199c35827033b7e9637813b5e01a34,0.459472,0.942761,0.945108,0.942761,0.942691
57ea0c091d36f69b3c1e56769e44f3c16cbb1723,0.539204,0.942761,0.945108,0.942761,0.942691
165f949a23c217b7cc3f87ca3d6c1e08aaa56133,0.494226,0.942761,0.945108,0.942761,0.942691
a6466155ae90d2cb9f5bc48845326fca790a6127,0.492699,0.942761,0.945108,0.942761,0.942691
9e1ea63f98307cb1c391762aeb4ec4d6cf0b8753,0.478079,0.942761,0.945108,0.942761,0.942691
60860e4a89630efca18d78a967251d5c08887c32,0.629927,0.942761,0.945108,0.942761,0.942691
f1916c8453377bb70426d94d6af9c341993880e7,0.446919,0.942761,0.945108,0.942761,0.942691
f690b4a84f3d1808ac6bc80f3c8e201bb2e5f9c8,0.441078,0.942761,0.945108,0.942761,0.942691
7ede0df219d732d39d572c533d41d952620d22e9,0.571271,0.942761,0.945108,0.942761,0.942691
63c378f8495eaba652122beccfd0acaefd06fe07,0.538477,0.942761,0.945108,0.942761,0.942691
14968044ec82a6d6a90ae9803ee20c8ed0201818,0.567629,0.942761,0.945108,0.942761,0.942691
f35116ad037b8cd1d5040465214f1bdf173ca670,0.388294,0.942761,0.945108,0.942761,0.942691
ea1d134d569222c8d7d14ac0146a2f4b30d88a9b,0.482518,0.942761,0.945108,0.942761,0.942691
b27759baf558f1818cec856863e257754758849c,0.454789,0.942761,0.945108,0.942761,0.942691
5f0278cbb429303f5b69506c9240109fc1fc4b58,0.472858,0.942761,0.945108,0.942761,0.942691
f75a140869a4363e02f87457e87a3e7e6c41e7b8,0.489056,0.942761,0.945108,0.942761,0.942691
afe890b2a8aba25e5e111aa224387f453c5653a7,0.427059,0.942761,0.945108,0.942761,0.942691
b3717d2edede321c9788041de893c3124c68a37b,0.438421,0.942761,0.945108,0.942761,0.942691
7e1a0eee08104e4083c1a65673a90fe21cae77f0,0.586034,0.942761,0.945108,0.942761,0.942691
8dd7f16bef2e0525ed2a65cc8bd3fd3b2affb0af,0.487848,0.942761,0.945108,0.942761,0.942691
c828f03c8181b5cd3dace5601312ab2e481ab721,0.434995,0.942761,0.945108,0.942761,0.942691
cea3dc8eea3fa0c1fb75df7635b5e80c72d66bac,0.535935,0.942761,0.945108,0.942761,0.942691
a5ecd0b75070fd5caa3142e17510adee5bec123b,0.526858,0.942761,0.945108,0.942761,0.942691
47257c2f0b683118d4d548e35884e8a1a39bd1cc,0.340031,0.942761,0.945108,0.942761,0.942691
21d3bc2bc5b283ef739ecefa799a3c6d7313daf2,0.488274,0.942761,0.945108,0.942761,0.942691
935fa24106d70fa0a55df9540dadd91a25ea8859,0.436027,0.942761,0.945108,0.942761,0.942691
cc0a34ae0b9c7f51c5ef6b6fdd3118259f61c811,0.525093,0.942761,0.945108,0.942761,0.942691
c9041e1e0470ee5312bcb9b6d3d2df5a744272f9,0.522448,0.942761,0.945108,0.942761,0.942691
e079f3837b23ceb1519bb56586fe15280bc519ff,0.411250,0.942761,0.945108,0.942761,0.942691
