init,time,inertia,homo,compl,v-meas,ARI,silhouette
kmeans_k-means++,8.719655,69819.895516,0.646960,0.691909,0.668680,0.531565,0.140437
kmeans_random,1.793246,71087.671764,0.600786,0.678878,0.637450,0.468218,0.120657
