init,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
sgd_regressor,0.007659,0.503089,0.503033,4.069824,1.569357
elasticnet,0.030726,0.186152,0.184462,6.678706,2.235132
omp,0.023557,0.400580,0.398501,4.925866,1.826213
