init,time,accuracy,precision,recall,fscore
svc,0.400889,0.974747,0.975428,0.974747,0.974953
rbf_svc,1.785147,0.077441,0.005997,0.077441,0.011132
nu_svc,1.360708,0.932660,0.935737,0.932660,0.932959
lin_svc,0.408581,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.402148,0.942761,0.945108,0.942761,0.942691
svc-gridsearch,3.863777,0.973064,0.973608,0.973064,0.973213
gnb,0.010768,0.090909,0.008264,0.090909,0.015152
logreg,0.395826,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.115954,0.934343,0.936444,0.934343,0.934802
