version,time,explained_variance_score,r2_score,mean_squared_error,mean_absolute_error
58723f6ad6a2205a81678b2318047c2e346d32f1,0.019314,0.186152,0.184462,6.678706,2.235132
a186db41c5e58561cf2c744ef20447f2c80f4813,0.014780,0.186152,0.184462,6.678706,2.235132
feee36d8c770e5b81f8df5266b990b8e88c58afb,0.013173,0.186152,0.184462,6.678706,2.235132
07c56d7cd2ddfe71e7a4399d74fc367d6000d854,0.026442,0.186152,0.184462,6.678706,2.235132
f7e002345fb0470f7168e24174c062a47e599d50,0.015053,0.186152,0.184462,6.678706,2.235132
c770e2f351929154f059674b9b52fa83e865f1c7,0.017107,0.186152,0.184462,6.678706,2.235132
b69fb645153219f6ddff65cc26356aba295e436d,0.052248,0.186152,0.184462,6.678706,2.235132
74b2382ebe67e6db107d7b7fc6b4c90416e2cf70,0.013172,0.186152,0.184462,6.678706,2.235132
f973c279f662fd62ef15ba86d0018d1670d56ff3,0.061094,0.186152,0.184462,6.678706,2.235132
f973c279f662fd62ef15ba86d0018d1670d56ff3,0.022830,0.186152,0.184462,6.678706,2.235132
a9e6d5ccb56d9fae061aa3688e3f9ac43bf86c4a,0.023671,0.186152,0.184462,6.678706,2.235132
a9e6d5ccb56d9fae061aa3688e3f9ac43bf86c4a,0.026462,0.186152,0.184462,6.678706,2.235132
19beac87ff508c95bfbc06a53c0243899b2cfc33,0.033122,0.186152,0.184462,6.678706,2.235132
53a9b64c96ef1e52779b1226a88e934508eaaff7,0.012428,0.186152,0.184462,6.678706,2.235132
e52e24706f367c1dfbb67abf4f6ccff300f6e8f1,0.035214,0.186152,0.184462,6.678706,2.235132
10c690fd8ec2923001250b64e4d73abede32a60a,0.013154,0.186152,0.184462,6.678706,2.235132
4d73592093ccedcce7decc3e3e1ccf509fb3b65b,0.022727,0.186152,0.184462,6.678706,2.235132
3fbd098324595da0f0e84c08427c3de6d57ed8b5,0.014290,0.186152,0.184462,6.678706,2.235132
d4988334865dff26120f5f5252bef00eb6168b80,0.033236,0.186152,0.184462,6.678706,2.235132
4ec84f138822063278261f3c542c35d2a25d9cd8,0.034931,0.186152,0.184462,6.678706,2.235132
ed169d9eff35964de040ffabbf84f8aa4eb24593,0.012538,0.186152,0.184462,6.678706,2.235132
7a595b85b4e59aff7baf572bde21680c3af6b32c,0.090776,0.186152,0.184462,6.678706,2.235132
d0feab0680891ff06fdc379c8ec76ee7f4290d66,0.013676,0.186152,0.184462,6.678706,2.235132
bd5671eb9fdcce1d6a2916de477f4d8cdf5055c8,0.019893,0.186152,0.184462,6.678706,2.235132
2a8db77373a7d6ea138bd1ee7044db2073b17d2c,0.044980,0.186152,0.184462,6.678706,2.235132
d2341b58c45c1e06cbbccd88a30122627c5d3139,0.026241,0.186152,0.184462,6.678706,2.235132
a27c0db712cfe9d8111d8b7a6d8a285715619a01,0.020304,0.186152,0.184462,6.678706,2.235132
6009c05f91c6eef37a0d352a3fcc43f31eaaeba3,0.017180,0.186152,0.184462,6.678706,2.235132
10d4cab765894b170d7d694236c651b50ba7ada6,0.035810,0.186152,0.184462,6.678706,2.235132
c83adb50ccf0139b3bf2ca105a3b9240754dedea,0.026621,0.186152,0.184462,6.678706,2.235132
22ba8441dbc4a7bc3483696c646eea41a54598c4,0.020676,0.186152,0.184462,6.678706,2.235132
1a030f05b022fd22591b7d5a7993aa49920faf28,0.060076,0.186152,0.184462,6.678706,2.235132
8c41be39e1fb775fd81ff33b71a8cfad9c6848cc,0.013237,0.186152,0.184462,6.678706,2.235132
