version,time,inertia,homo,compl,v-meas,ARI,silhouette
f0ab589f1541b1ca4570177d93fd7979613497e3,0.425447,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
ed5e127b2460b94dbf3398d97990cb54f188d360,0.419530,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
622c2d3e6e6c967c0a89195087f7841d4c52ea10,0.418859,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
780f8cb5caf25973c0412295ba683e4bde16a312,0.418517,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
8adc4aa1b436ce0ec8c9fbfc2a8173e2598c1049,0.418718,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
8c439fbe8c340389d7f9d99884180b2e7b21a79f,0.418740,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
741c6388298ab9abbd720c33e44a0f6a8f2e04b7,0.418780,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
baa18eea47ae013c1b34fdea08e3806f0b71d9ea,0.417745,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1d3bf7341abb6f4309130555bd24d566c85d42bd,0.418687,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
7c3944f59338ffd4a49d9aeb658695001dfa1da9,0.418918,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
2c298d0342eab3b6aa32228966be23bfd7764ecb,2.510847,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
0289da40c1ff00e8dc812c80373f975cfc42f34a,2.828078,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
654bddda54739ce96841d793cb17cc390d9dc51a,1.957997,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
8a391bea9f635c311bfaff956b111b0ebd90908d,2.122524,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
889e2d4024266331a0f34d12ff6c422e9e205f69,2.051842,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
a5d6144587795c48d44002c494a3e9ce4985f6ce,2.010842,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
bc3c3db777cf38328a17525b3951676cd283f6cf,3.367407,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1d16ec4718f5dfeaca4db0dcff0d60efc071efe8,1.787198,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
299c2751caf9f7b34ab6cbc352b5c6b3357129a9,4.043743,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
