init,time,accuracy,precision,recall,fscore
svc,0.400005,0.974747,0.975153,0.974747,0.974804
rbf_svc,0.959769,0.944444,0.962166,0.944444,0.948446
nu_svc,1.134681,0.932660,0.935737,0.932660,0.932959
lin_svc,0.420815,0.942761,0.945108,0.942761,0.942691
lin_svc+cs,0.595509,0.942761,0.945108,0.942761,0.942691
knn-auto,0.135695,0.969697,0.971286,0.969697,0.969738
knn-ball_tree,0.127835,0.969697,0.971286,0.969697,0.969738
knn-brute,0.238116,0.969697,0.971286,0.969697,0.969738
knn-kd_tree,0.917065,0.969697,0.971286,0.969697,0.969738
svc-gridsearch,3.790353,0.973064,0.974624,0.973064,0.973176
bernoullinb,0.097215,0.856902,0.861528,0.856902,0.857778
gaussiannb,0.028777,0.794613,0.841574,0.794613,0.797305
logreg,0.458305,0.951178,0.952191,0.951178,0.951065
sgd_classfier,0.092471,0.936027,0.937742,0.936027,0.936450
passiveac,0.055895,0.936027,0.937742,0.936027,0.936450
