version,time,inertia,homo,compl,v-meas,ARI,silhouette
f0ab589f1541b1ca4570177d93fd7979613497e3,0.658573,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
ed5e127b2460b94dbf3398d97990cb54f188d360,0.451189,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
622c2d3e6e6c967c0a89195087f7841d4c52ea10,0.700987,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
780f8cb5caf25973c0412295ba683e4bde16a312,0.657523,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
8adc4aa1b436ce0ec8c9fbfc2a8173e2598c1049,0.800636,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
8c439fbe8c340389d7f9d99884180b2e7b21a79f,0.477240,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
741c6388298ab9abbd720c33e44a0f6a8f2e04b7,0.567352,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
baa18eea47ae013c1b34fdea08e3806f0b71d9ea,0.562076,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
1d3bf7341abb6f4309130555bd24d566c85d42bd,0.468638,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
7c3944f59338ffd4a49d9aeb658695001dfa1da9,0.503094,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
2c298d0342eab3b6aa32228966be23bfd7764ecb,2.872450,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
0289da40c1ff00e8dc812c80373f975cfc42f34a,2.629147,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
654bddda54739ce96841d793cb17cc390d9dc51a,2.558359,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
8a391bea9f635c311bfaff956b111b0ebd90908d,2.761550,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
889e2d4024266331a0f34d12ff6c422e9e205f69,2.995069,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
a5d6144587795c48d44002c494a3e9ce4985f6ce,2.364919,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
bc3c3db777cf38328a17525b3951676cd283f6cf,2.787101,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
1d16ec4718f5dfeaca4db0dcff0d60efc071efe8,1.233147,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
299c2751caf9f7b34ab6cbc352b5c6b3357129a9,2.627163,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
253e3870fa329da2e7ed16477abe7ada41033117,2.814244,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
04ca448a4c92600d08522e9292b3a076c56259f9,1.643709,69416.135142,0.603401,0.651675,0.626610,0.466684,0.146488
