version,time,inertia,homo,compl,v-meas,ARI,silhouette
6306c188f824279c50dc6f86f6361374be8276ea,3.631809,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
9c3e66e8d1867ceea068357b1f122af161732276,6.310188,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
40001241aa6baee644f75e354cbc56f10bcd2ae3,3.818632,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
72174a712557ebddadbd5066208eeb35824411cf,4.532586,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
f9c5458e8557a612ae608d6db837402fceb81241,3.333156,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
404f24cb7ae1f2cea797aa4f1402cabff0b612a7,4.122791,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
84ea07dfab90eee2cbe2084519123d31e32babca,3.774878,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
c467d54224bab39fd0be8320805b368828042b0a,3.971512,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
570b4a312a7962e2d92148a8e90be618a6d881ae,3.830999,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
ebc7a6c3327c6f02818ba168ab091489872570aa,4.130948,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
e3da7a499099f1a15cb77d447c4564155568dd82,2.763986,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
eba34defc3192acceb2bf56a43ffcb5c2c1d955b,4.528956,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
42b1510d30de3716d3fa81059fcb21a8a1d76bb4,4.073647,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
b064bb9fd071c714e563d7eea225ecceca2713be,3.530090,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
3ea18da2db705865a0949ee97044a6cdc6cac623,3.223759,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
bc5deea740c1471851f9f6d59d2a2804a1508a2d,3.525785,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
f548b996725c2069e1e28350658d0ce74e407c27,5.425353,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
5b3cb5ce746e547cb82dfed4e5a5a4ffb79bf09a,3.554929,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
835af056243c1529f5b7ee44f39c3cd8ee2cf36c,4.808747,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
249ea7bd0df19fca7e6a2d9863d02b1670fe77f5,1.710642,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
de3991a5b5a931ce09d6e9017fc90e202e20e6c9,3.790521,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
44df9a2126210711028ee950b2635396fec90cdf,4.089010,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
d14f7b715eaf71c622549a3bffde51f5dac09408,1.755554,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
5a79a4ce63607b66d0ca532d480b0e9bb665a7e1,3.153868,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
0f0a5aa5688678c4adfdb696c0b6821d4404b6b0,3.838661,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
88acd3c283f605b662d1598cc7d42de2db7f57a8,3.419959,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
50a42f0144674832dcba7ae0867be3e2056f269f,3.385233,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1caa9e77934e2ef5ad88c92583ce7e78d8c13d7f,3.818207,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
1c75bd88fff7c7650d27828c836d7de3bde37f35,3.231953,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
0f21fce652e133f837628112ee58f9360d7d795b,3.905520,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
68d77d41cc5193c5dc5685b8ad8cb98377467730,4.798043,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
17ecf4ebb82c202e3b918e4803f7a3e6eece3555,5.369273,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
94194512241079320e051050766f7baf5ea83b54,4.699660,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
be82adc2ebe0f0f2a5d99e475d3358e2e963e976,4.850977,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
d340e0e69bd2d0c7cf453318d422759dfc4ce461,4.120345,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
b9f62bf71b7f2490d058d7926e15c8a92d5fb553,3.841460,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
6de59449bf44e71957b3d81fbc08e4730b3d0630,2.987875,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
603eadd4b92f8c732ceb56be51a45145f7c645de,5.033281,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
6058567e78bb49bf981f7f4f892fbff30a6f27f0,3.077419,69683.156271,0.680690,0.719774,0.699687,0.571574,0.147889
